PLACE12NM,POPCNT,DESCNM,CTY12CD,CTY12CDO,CTY12NM,NMD12CD,NMD12CDO,NMD12NM,UA12CD,UA12CDO,UA12NM,MD12CD,MD12CDO,MD12NM,LONB12CD,LONB12CDO,LONB12NM,WD12CD,WD12CDO,HLTH12CD,HLTH12CDO,HLTH12NM,REGD12CD,REGD12CDO,REGD12NM,GOR11CD,GOR11CDO,GOR11NM,NPARK12CD,NPARK12CDO,NPARK12NM,BUA11CD,PCON12CD,PCON12CDO,PCON12NM,EER12CD,EER12CDO,EER12NM,GRIDGB1,GRIDGB1E,GRIDGB1N,GRID1KM,PAR12CD,PAR12CDO
Colney Heath),,PAR,E10000015,26,Hertfordshire,E07000240,26UG,St Albans,,,,,,,,,,,,E18000006,Q35,East of England,E28000141,538,Hertfordshire,E12000006,G,East of England,,,,,E14001027,F03,Welwyn Hatfield,E15000006,6,Eastern,521263206087,521263,206087,TL2106,E04012222,26UG001
Colney Heath),5962,WD,E10000015,26,Hertfordshire,E07000240,26UG,St Albans,,,,,,,,,,E05009028,26UGGA,E18000006,Q35,East of England,E28000141,538,Hertfordshire,E12000006,G,East of England,,,,,E14001027,F03,Welwyn Hatfield,E15000006,6,Eastern,521263206087,521263,206087,TL2106,,
Three Crosses,,COM,,,,,,,W06000011,00NX,Swansea,,,,,,,,,W11000026,7A3,Abertawe Bro Morgannwg University,W20000037,897,Swansea,,W,Wales,,,,,W07000046,W06,Gower,W08000001,10,Wales,256279193871,256279,193871,SS5693,W04000977,00NX039
Cockett),,COM,,,,,,,W06000011,00NX,Swansea,,,,,,,,,W11000026,7A3,Abertawe Bro Morgannwg University,W20000037,897,Swansea,,W,Wales,,,,,W07000048,W08,Swansea East,W08000001,10,Wales,262222196794,262222,196794,SS6296,W04000961,00NX006
Clydach),,COM,,,,,,,W06000011,00NX,Swansea,,,,,,,,,W11000026,7A3,Abertawe Bro Morgannwg University,W20000037,897,Swansea,,W,Wales,,,,,W07000048,W08,Swansea East,W08000001,10,Wales,268465201024,268465,201024,SN6801,W04000960,00NX005
Dunvant),,COM,,,,,,,W06000011,00NX,Swansea,,,,,,,,,W11000026,7A3,Abertawe Bro Morgannwg University,W20000037,897,Swansea,,W,Wales,,,,,W07000046,W06,Gower,W08000001,10,Wales,258388193324,258388,193324,SS5893,W04000963,00NX008
Landore),,COM,,,,,,,W06000011,00NX,Swansea,,,,,,,,,W11000026,7A3,Abertawe Bro Morgannwg University,W20000037,897,Swansea,,W,Wales,,,,,W07000047,W07,Swansea West,W08000001,10,Wales,266210195310,266210,195310,SS6695,W04000966,00NX014
Landore),6439,WD,,,,,,,W06000011,00NX,Swansea,,,,,,,W05000969,00NXPL,W11000026,7A3,Abertawe Bro Morgannwg University,W20000037,897,Swansea,,W,Wales,,,,,W07000047,W07,Swansea West,W08000001,10,Wales,265663194758,265663,194758,SS6594,,
Cockett),13938,WD,,,,,,,W06000011,00NX,Swansea,,,,,,,W05000963,00NXPA,W11000026,7A3,Abertawe Bro Morgannwg University,W20000037,897,Swansea,,W,Wales,,,,,W07000048,W08,Swansea East,W08000001,10,Wales,262222196794,262222,196794,SS6296,,
St Albans),140664,NMD,E10000015,26,Hertfordshire,E07000240,26UG,St Albans,,,,,,,,,,,,E18000006,Q35,East of England,E28000141,538,Hertfordshire,E12000006,G,East of England,,,,,E14001027,F03,Welwyn Hatfield,E15000006,6,Eastern,521263206087,521263,206087,TL2106,,
Clydach),7503,WD,,,,,,,W06000011,00NX,Swansea,,,,,,,W05000962,00NXNZ,W11000026,7A3,Abertawe Bro Morgannwg University,W20000037,897,Swansea,,W,Wales,,,,,W07000048,W08,Swansea East,W08000001,10,Wales,268465201024,268465,201024,SN6801,,
Dunvant),4383,WD,,,,,,,W06000011,00NX,Swansea,,,,,,,W05000965,00NXPC,W11000026,7A3,Abertawe Bro Morgannwg University,W20000037,897,Swansea,,W,Wales,,,,,W07000046,W06,Gower,W08000001,10,Wales,258388193324,258388,193324,SS5893,,
St Ives East),6999,WD,E10000003,12,Cambridgeshire,E07000011,12UE,Huntingdonshire,,,,,,,,,,E05008937,12UEHD,E18000006,Q35,East of England,E28000088,339,Cambridgeshire,E12000006,G,East of England,,,,,E14000855,D29,North West Cambridgeshire,E15000006,6,Eastern,530655274542,530655,274542,TL3074,,
"Hastingwood, Matching and Sheering Village)",2357,WD,E10000012,22,Essex,E07000072,22UH,Epping Forest,,,,,,,,,,E05008940,22UHGS,E18000006,Q35,East of England,E28000210,463,Essex,E12000006,G,East of England,,,,,E14000594,A65,Brentwood and Ongar,E15000006,6,Eastern,553357210807,553357,210807,TL5310,,
