PLACE12NM,POPCNT,DESCNM,CTY12CD,CTY12CDO,CTY12NM,NMD12CD,NMD12CDO,NMD12NM,UA12CD,UA12CDO,UA12NM,MD12CD,MD12CDO,MD12NM,LONB12CD,LONB12CDO,LONB12NM,WD12CD,WD12CDO,HLTH12CD,HLTH12CDO,HLTH12NM,REGD12CD,REGD12CDO,REGD12NM,GOR11CD,GOR11CDO,GOR11NM,NPARK12CD,NPARK12CDO,NPARK12NM,BUA11CD,PCON12CD,PCON12CDO,PCON12NM,EER12CD,EER12CDO,EER12NM,GRIDGB1,GRIDGB1E,GRIDGB1N,GRID1KM,PAR12CD,PAR12CDO
Pulborough and Coldwatham),6147,WD,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,E05007660,45UFGS,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,504840119700,504840,119700,TQ0419,,
Chanctonbury),7938,WD,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,E05007649,45UFGF,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,515081112135,515081,112135,TQ1512,,
Chantry),9643,WD,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,E05007650,45UFGG,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,505213113533,505213,113533,TQ0513,,
"Bramber, Upper Beeding and Woodmancote)",5314,WD,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,E05007647,45UFGD,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,521900111710,521900,111710,TQ2111,,
Pulborough),5206,PAR,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,504287121598,504287,121598,TQ0421,E04009962,45UF016
Storrington and Sullington),6966,PAR,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,508542112832,508542,112832,TQ0812,E04009978,45UF034
West Chiltington),3377,PAR,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,507850116709,507850,116709,TQ0716,E04009974,45UF030
Washington),1867,PAR,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,512612114058,512612,114058,TQ1214,E04009973,45UF029
Petworth),4742,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007619,45UDHF,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,499182126965,499182,126965,SU9926,,
Plaistow),4784,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007620,45UDHG,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000633,B05,Chichester,E15000008,8,South East,494280129220,494280,129220,SU9429,,
Wisborough Green),2477,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007630,45UDHS,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,502509123965,502509,123965,TQ0223,,
Funtington),2671,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007614,45UDHA,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,482931106780,482931,106780,SU8206,,
Lavant),2365,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007616,45UDHC,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000633,B05,Chichester,E15000008,8,South East,486110108900,486110,108900,SU8608,,
Westbourne),2309,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007629,45UDHR,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,477465107588,477465,107588,SU7707,,
